Revenue,Survey question,Response option,Percent,Question sample size
"$25,001-$50,000",Actions taken in response to financial challenges,Used personal funds,76%,276
"$25,001-$50,000",Actions taken in response to financial challenges,Raised prices the business charges,52%,276
"$25,001-$50,000",Actions taken in response to financial challenges,Used cash reserves,42%,276
"$25,001-$50,000",Actions taken in response to financial challenges,Obtained funds that must be repaid,38%,276
"$25,001-$50,000",Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",36%,276
"$25,001-$50,000",Actions taken in response to financial challenges,Made a late payment or did not pay,21%,276
"$25,001-$50,000",Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,19%,276
"$25,001-$50,000",Actions taken in response to financial challenges,No action,2%,276
"$25,001-$50,000",Actions taken in response to financial challenges,Other,0%,276
$5 million-$10 million,Actions taken in response to financial challenges,Used cash reserves,59%,343
$5 million-$10 million,Actions taken in response to financial challenges,Raised prices the business charges,53%,343
$5 million-$10 million,Actions taken in response to financial challenges,Obtained funds that must be repaid,36%,343
$5 million-$10 million,Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",31%,343
$5 million-$10 million,Actions taken in response to financial challenges,Used personal funds,30%,343
$5 million-$10 million,Actions taken in response to financial challenges,Made a late payment or did not pay,19%,343
$5 million-$10 million,Actions taken in response to financial challenges,No action,7%,343
$5 million-$10 million,Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,5%,343
$5 million-$10 million,Actions taken in response to financial challenges,Other,2%,343
"$0-$25,000",Actions taken in response to financial challenges,Used personal funds,76%,347
"$0-$25,000",Actions taken in response to financial challenges,Used cash reserves,44%,347
"$0-$25,000",Actions taken in response to financial challenges,Obtained funds that must be repaid,43%,347
"$0-$25,000",Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",34%,347
"$0-$25,000",Actions taken in response to financial challenges,Made a late payment or did not pay,29%,347
"$0-$25,000",Actions taken in response to financial challenges,Raised prices the business charges,28%,347
"$0-$25,000",Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,9%,347
"$0-$25,000",Actions taken in response to financial challenges,No action,5%,347
"$0-$25,000",Actions taken in response to financial challenges,Other,4%,347
More than $10 million,Actions taken in response to financial challenges,Raised prices the business charges,48%,370
More than $10 million,Actions taken in response to financial challenges,Used cash reserves,48%,370
More than $10 million,Actions taken in response to financial challenges,Obtained funds that must be repaid,32%,370
More than $10 million,Actions taken in response to financial challenges,"Cut staff, hours, and/or downsized operations",29%,370
More than $10 million,Actions taken in response to financial challenges,Used personal funds,21%,370
More than $10 million,Actions taken in response to financial challenges,Made a late payment or did not pay,14%,370
More than $10 million,Actions taken in response to financial challenges,No action,12%,370
More than $10 million,Actions taken in response to financial challenges,Other,6%,370
More than $10 million,Actions taken in response to financial challenges,Obtained funds that do not have to be repaid,5%,370
"$50,001-$100,000",Actions taken in response to financial challenges,Used personal funds,69%,507
"$50,001-$100,000",Actions taken in response to financial challenges,Used cash reserves,51%,507
"$50,001-$100,000",Actions taken in response to financial challenges,Obtained funds that must be repaid,44%,507
"$50,001-$100,000",Actions taken in response to financial challenges,Raised prices the business charges,40%,507
